8,138,2,0,2,1,1,1,2,0,0,0,151,20,0,0,0,0,0,23,162,65,5,0,0,2,3,53,2,6,2,0,0,0,0,0,4,4,1,0,0,0,0,0,162,25,0,0,0,0,0,23,162,93,3,0,0,0,0,63,20,10,1,0,0,0,0,4,6,0,0,0,0,0,0,1,162,13,0,0,0,0,0,32,162,91,4,0,1,26,20,97,11,12,6,0,1,21,9,3,1,0,0,0,0,0,1,1,111,3,0,0,0,0,2,30,162,108,9,0,0,5,6,76,31,61,12,0,0,3,2,4
36,189,2,0,1,0,0,0,0,0,0,0,155,1,0,0,0,0,0,6,194,4,0,0,3,2,0,13,32,3,1,3,44,31,0,2,1,14,10,0,0,0,0,0,169,22,22,0,0,0,0,1,194,4,0,0,11,5,0,10,39,1,0,0,83,31,0,2,27,28,13,0,0,0,9,18,112,24,38,8,0,8,29,20,194,6,1,0,12,7,1,41,37,2,0,0,66,21,0,7,4,3,1,1,0,0,10,13,90,1,0,0,0,2,28,25,194,0,0,0,3,6,1,67,30,3,0,0,20,19,0,13
40,225,2,0,13,14,35,11,0,0,0,1,156,73,5,2,0,0,0,0,156,34,1,0,1,1,1,1,55,4,0,0,0,1,0,2,33,11,12,9,4,10,35,17,156,81,2,3,1,2,3,9,137,33,1,2,3,7,8,9,40,1,0,0,0,1,5,25,66,0,0,0,0,1,24,20,156,6,0,0,0,0,3,92,76,1,0,0,0,7,51,76,2,0,0,0,0,1,34,51,35,0,0,0,0,0,0,14,156,0,0,0,0,0,15,153,25,0,0,0,0,0,93,140,0,0,0,0,0,0,82,48
50,142,2,0,167,58,0,0,0,0,0,1,143,22,0,0,0,0,0,1,65,7,0,0,0,0,0,2,16,4,0,0,26,2,0,0,167,46,0,0,0,0,0,3,167,11,0,0,0,0,0,5,81,11,0,0,0,0,0,2,21,5,0,0,47,6,0,0,167,42,0,0,0,0,0,4,167,4,0,0,0,0,0,18,85,7,0,0,0,0,0,6,23,4,0,1,69,5,0,0,167,35,0,0,2,2,0,2,155,7,0,0,1,0,0,10,75,6,0,0,0,0,0,5,16,2,0,1,66,5,0,0
50,152,2,0,153,50,0,0,0,0,0,2,153,4,0,0,0,0,0,13,94,4,0,0,0,0,0,6,34,4,0,0,17,1,0,1,153,60,0,0,2,1,0,2,153,14,0,0,1,0,0,11,125,14,0,0,0,0,0,5,41,11,0,1,29,2,0,0,153,50,0,0,7,19,4,7,153,6,0,0,3,7,5,20,130,6,0,0,0,0,0,11,45,2,0,0,36,7,0,0,153,24,0,0,16,18,2,5,153,19,0,0,3,4,1,7,97,8,0,0,0,0,0,9,26,1,0,0,31,13,0,3
50,161,2,0,149,51,0,0,3,6,1,2,149,6,0,0,3,4,3,15,111,4,0,0,0,0,0,12,38,2,0,0,28,3,0,1,149,43,0,0,14,22,3,8,149,12,0,0,6,12,5,16,148,11,0,0,0,0,0,9,42,2,0,0,37,12,0,3,149,34,0,0,19,12,1,1,149,25,0,0,6,3,0,13,130,2,0,0,0,0,0,35,34,1,0,0,48,11,0,4,149,38,12,2,3,1,0,0,117,18,3,0,0,0,1,36,113,0,0,0,0,0,0,43,30,1,0,0,44,6,0,3
52,77,2,0,168,7,0,0,0,0,0,1,168,3,0,0,0,0,0,2,69,8,0,0,0,0,0,0,5,6,1,10,14,0,0,0,168,10,0,0,0,0,0,0,168,5,0,0,0,0,0,2,99,3,0,0,0,0,0,1,18,4,1,9,12,0,0,0,168,2,0,0,0,0,0,3,168,3,0,0,0,0,0,6,101,5,0,0,0,0,0,2,25,6,0,6,8,0,0,0,168,0,0,0,0,0,0,4,168,6,0,0,0,0,0,1,75,14,0,0,0,0,0,0,18,10,0,3,4,0,0,0
61,216,2,0,130,41,1,0,0,0,0,2,38,102,4,0,0,0,0,0,36,112,51,15,0,0,0,0,0,7,53,84,14,0,0,0,130,13,0,1,0,0,0,27,130,34,0,0,0,0,0,14,130,46,10,11,1,0,0,6,16,10,11,108,80,0,0,0,130,7,0,3,1,0,0,24,130,36,0,0,0,0,0,9,130,8,1,1,1,0,0,39,41,2,1,58,93,0,0,9,130,5,0,1,6,1,0,36,124,40,12,11,0,0,0,8,130,6,5,8,0,0,0,30,61,1,0,26,39,0,0,10
89,165,2,0,19,21,52,47,19,26,43,29,47,18,10,52,45,28,6,6,150,83,0,0,0,0,0,9,86,44,2,5,2,0,0,0,23,17,36,14,6,23,63,39,80,10,22,37,20,32,15,8,150,39,0,0,0,0,0,17,116,24,1,3,6,0,0,0,10,4,8,3,2,4,150,71,101,5,4,12,10,16,89,55,150,22,0,0,0,0,0,18,123,3,0,0,7,0,0,5,19,0,0,1,6,2,20,17,150,2,0,0,0,0,6,38,150,6,0,0,0,0,0,28,99,0,0,0,4,0,0,9
92,203,2,0,0,2,4,8,31,25,9,1,48,99,14,3,14,4,9,19,21,114,114,26,8,12,22,14,0,4,53,114,114,19,3,0,13,17,19,6,11,6,1,3,78,40,21,10,11,5,9,72,54,86,38,5,5,25,84,95,0,15,61,114,114,51,16,1,11,2,2,6,4,4,6,14,62,11,7,4,14,26,11,32,114,114,33,2,2,22,50,114,4,24,53,53,96,114,40,12,2,2,3,10,2,0,0,0,12,8,15,5,8,12,6,14,37,15,5,2,8,26,73,99,9,19,49,24,14,82,45,12
92,94,2,0,110,111,69,7,0,0,10,52,6,17,128,128,16,8,23,16,71,66,23,46,10,4,0,9,35,21,8,1,0,0,0,36,56,6,4,0,0,0,109,128,21,4,12,34,21,35,128,128,123,43,7,20,16,23,46,40,25,14,7,6,5,1,3,20,22,27,21,0,0,0,13,26,118,17,17,2,0,0,34,57,128,37,5,4,9,6,17,72,14,7,4,9,34,21,14,23,42,41,43,5,0,0,16,37,28,11,74,32,1,2,29,26,81,3,7,4,1,4,24,109,13,0,0,0,2,12,27,48
94,69,2,0,1,1,1,0,13,18,2,2,2,5,12,18,30,15,4,2,0,7,6,10,29,20,7,0,1,4,5,5,11,41,44,3,1,1,0,0,8,68,55,8,26,6,5,6,15,76,140,22,129,68,26,41,89,25,18,12,2,6,8,38,146,50,20,0,9,1,1,17,104,47,17,2,93,4,1,2,19,28,48,20,146,16,0,6,146,3,3,23,10,1,0,10,146,4,0,0,11,1,2,12,78,27,12,9,49,15,11,7,16,2,1,8,146,2,0,1,87,19,12,68,8,0,0,4,146,32,5,5
95,208,2,0,26,63,54,37,8,1,1,7,31,12,25,30,9,2,2,15,10,7,15,11,6,12,5,6,5,5,10,7,2,2,4,4,56,42,21,25,26,69,45,21,96,115,89,41,31,27,5,12,14,35,109,115,66,13,1,6,7,9,44,45,18,13,7,9,29,4,2,2,16,45,37,33,115,24,5,3,12,44,69,115,50,47,28,27,79,89,59,50,11,37,48,52,104,44,5,5,2,7,6,14,89,20,5,9,9,0,0,0,13,24,107,86,24,3,0,0,3,24,115,115,13,7,0,0,27,81,104,50
95,64,2,0,53,5,0,0,0,0,0,0,161,43,0,0,7,0,0,0,78,11,0,6,161,15,0,0,0,0,0,2,123,13,1,0,83,15,0,0,0,0,0,0,161,56,0,0,14,7,1,9,69,9,0,4,161,66,2,5,0,3,29,19,109,11,0,0,46,68,46,0,0,0,0,0,161,43,5,0,4,18,24,67,26,12,9,9,106,96,33,25,7,49,109,17,23,3,0,1,2,40,88,5,1,1,0,0,19,35,24,1,0,2,7,10,24,19,7,1,0,11,11,6,30,22,11,2,1,3,10,20
